,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,BHJOB15656_17330 - Data Engineer,$54K - $116K (Glassdoor est.),"The recruitment team at Myticas Consulting is looking for a Data Engineer and analytics team to o work with some of the emerging technologies in the data engineering and in the cloud. This is an opportunity to build high performance scalable data pipelines while adopting industry best practices on data management, quality, and automation. In this role you will represent the data organization and will be working with key stakeholders across the organization on strategic business initiatives. We need someone adept with SQL, Python and AWS.
Qualifications:
5+ years of experience working with enterprise data platforms, building and managing data lakes, and using big data technologies
3+ years of experience working within the AWS platform. Experience solutioning on AWS infrastructure using services like AWS IAM, S3, Lambda, Lake formation, and Redshift
2+ years of experience with using Python for data engineering and developing high performance, and scalable data pipelines",3.7,"Myticas Consulting
3.7","Chicago, IL",-1,-1,-1,-1,-1,-1
1,Data Engineer,$63K - $137K (Glassdoor est.),"Identifying installation solutions for new databases
Determining the requirements for a new database
Publishing and/or presenting design reports
Identifying areas for improvement in current systems
Coordinating with other team members to reach project milestones and deadlines
Auditing database regularly to maintain quality
Creating systems to keep data secure
Experience with NoSQL databases such as CosmosDB, Postgres NoSQL, and Cassandra a big plus
Working knowledge of Python and Kafka a plus.",1.7,"Orion Inc.
1.7","Berkeley Heights, NJ",-1,-1,-1,-1,-1,-1
2,Data Engineer,$95K - $174K (Glassdoor est.),"Replica is an enterprise data platform that delivers critical insights about the built environment. With better data, human-context and an intuitive design, Replica helps public and private sectors make informed, effective, and responsive decisions. By showing how people live, move and work, we contextualize hard choices, allowing our clients to see around corners and understand the trade-offs surrounding their decisions. Whether for a city planner increasing public transit to underserved neighborhoods or for a grocery chain evaluating where to open a new location, Replica's insights lets clients make more informed, people-centered decisions.
We spun out of Alphabet in 2019 and recently secured series B funding from venture firms including Founders Fund, Innovation Endeavors, Sidewalk Labs, Firebrand Ventures, and Revolution's Rise of the Rest Seed Fund. Today, we are a team of 50 employees with offices in Oakland, New York, and Kansas City.
We value our customers, believe in being resourceful, and work in service of each other to scale our product. As we build our team, we are committed to pursuing and bringing together a diverse workforce and creating an environment of inclusion. We value our differences and we encourage all to apply. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, Veteran status, or any other status protected by the laws or regulations in the locations where we operate.",5.0,"Replica
5.0","San Francisco, CA",-1,-1,-1,-1,-1,-1
3,Data Engineer,$83K - $175K (Glassdoor est.),"Smartsheets is looking for a Data Engineer to join our Business Data Platform team. In this role, the qualified candidate will be responsible for driving the design and development of data pipelines and data platform infrastructure components with a focus on reliability, scalability, and maintainability.
This position will report to our Sr Manager of, Business Data Platform and is based at our headquarters in Bellevue, WA.
Job Responsibilities:
Work with dispersed engineering teams and business users to design and build infrastructure to run data pipelines in to our centralized data platform
Contribute to full SDLC; defining, prioritizing, designing, implementing, testing, and deploying new features for our platform",4.3,"Smartsheet
4.3","Bellevue, WA",-1,-1,-1,-1,-1,-1
4,Data Engineer,-1,"Position Summary:
Come be a part of the fast-growing Data Engineering team as we migrate our processes and systems to the cloud. You will play a critical role in this highly visible and strategic project to revolutionize Penn foster’s data capabilities. The Data Engineer is primarily responsible for the development of data engineering processes in an Azure Databricks environment. The ideal candidate will have experience writing Python/PySpark code, SQL, Jira, prioritizing tasks, agile development lifecycles (Kanban and SCRUM), and data analysis.
Essential Job Functions:
As a Data Engineer, you will work on projects that deliver key data and analytics to support Penn Foster’s business and growth. This person will develop dataflows on complex datasets. Your Data Engineer career will challenge you to apply your skills across the Penn Foster enterprise during this critical data transformation project.",3.6,"Penn Foster
3.6",Remote,-1,-1,-1,-1,-1,-1
5,"Data Engineer, Product Analytics",$71K - $138K (Glassdoor est.),"About Carvana
If you like disrupting the norm and are looking for a company revolutionizing an industry then you will LOVE what Carvana has done for the car buying experience. Buying a car the old fashioned way sucks and we are working hard to make it NOT suck. At Carvana, our customers can hop online to...
Search and browse our inventory of over 20,000 vehicles that we own and certify.
Narrow down search results using highly intelligent filtering tools/components.
View vehicle details, Carfax reports, and 360 rotating studio images for every vehicle.
Secure financing in minutes using Carvana's in-house service or their own bank.
Interact with GUI components to easily customize loan length, down payment, and monthly payment.",3.4,"Carvana
3.4","Phoenix, AZ",-1,-1,-1,-1,-1,-1
6,DevSecOps Engineer,$68K - $131K (Glassdoor est.),"Our NinjaOne DevSecOps Engineer is pivotal to our information technology team. You will directly contribute to the user experience of our 7,000+ customers. Own and solve challenges that include responding to security incidents, developing and documenting incident management processes and procedures, and investigating security vulnerabilities in our environment and applications. You will have with company-wide visibility and deliverables working with individual team members as well as executive leadership. Applying a multi-layered approach to data privacy and information security, and engraining cybersecurity into the Ninja culture.

Location- we are flexible on remote working from home, as long as you are located in the USA and in one of the following states- TX, FL, CA, NC, OR, GA. We have physical offices in Austin, TX and Tampa, FL

What You’ll be Doing",4.3,"NinjaOne, LLC
4.3","Austin, TX",-1,-1,-1,-1,-1,-1
7,Data Engineer - DE22-01176,$52K - $105K (Glassdoor est.),"Position: Data Engineer
Location: Remote Role
Duration: 9 Months (Possible Extension)
Responsibilities:
The Team: The Data Platform team in our Company's Animal Health IT (MAHI-IT) designs and implements end to end data solutions to support customer facing applications in animal traceability, monitoring, well-being, and more.
We seek a Data Engineer to help the team setting up, maintaining, optimizing, and scaling data pipelines from multiple sources and across different functional teams in a cloud environment.
Assist in developing best practices for deploying, monitoring, and scaling data pipelines in the cloud
Identify requirements for ingestion, transformation, and storage of data",-1,"Evergreen Technologies, LLC.","Sun Prairie, WI",-1,-1,-1,-1,-1,-1
8,Data Engineer,Employer Provided Salary:$82K - $200K,"Description:
General Responsibilities: The data engineer is someone who develops, constructs, tests and maintains architectures, such as databases and large-scale processing systems. Level II Intermediate level resource with significant experience.
Description
We are seeking engineers excited about building and scaling infrastructure to evolve our advertising platform. As an engineer with our advertising team you will work with technologies to design, develop and maintain our advertising platform. The ideal candidate is an engineer with extensive knowledge of the software development process and an understanding of distributed systems.
Responsibilities: Develop clear, elegant, and maintainable code primarily using Java, Scala, and design scalable, fault tolerant software components for serving ads. Candidate should have structured approach to development (measuring, monitoring, and testing) and a deep understanding of object oriented design. Solid grasp of algorithms and data structures Proficient with Unix/Linux operating systems
Hands-on development mentality with a willingness to troubleshoot and solve complex problems",4.5,"Antra, Inc
4.5",Remote,-1,-1,-1,-1,-1,-1
9,Data Engineer,Employer Provided Salary:$79K - $92K,"JOB TITLE: Data Engineer
EMPLOYER: National Association of State Procurement Officials (NASPO)
DEPARTMENT: Technology
LOCATION: Remote with occasional travel
REPORTS TO: Director of Business and Data Analytics
SALARY RANGE: $78,550-$92,300
SUMMARY: At National Association of State Procurement Officials (NASPO), we're passionate about helping States Governments and Local Communities work together with Suppliers to contribute to the development and growth of the public purchasing sector.
NASPO is seeking a Data Engineer with data pipeline, ETL, API and AWS cloud platform experience to contribute toward the success of our technology initiatives. Core areas include the warehousing, transformation, cleansing, and integration of large volumes of data. This position will need to be able to write scripts and commands for data manipulation and assist with the development of policies and procedures related to the support of new and ongoing data and information systems.",4.0,"National Association Of State Procurement Officials Inc
4.0","Lexington, KY",-1,-1,-1,-1,-1,-1
