,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,$83K - $160K (Glassdoor est.),"Company Description

Public Storage is recognized as one of America’s Best Large Employers in 2022 by Forbes and our employees have also voted us as a Great Place to Work, having Best Career Growth, ranked us in the Top 5% for Work Culture, and in the Top 10% for Diversity and Inclusion.
With more than 2,800 locations nationwide, Public Storage is the leader in the self-storage industry, and given our number of tenants, we may very well be the world's largest landlord. We've experienced unprecedented growth over the past four decades, and it's in no small part due to the dedicated team that has helped us become an S&P 500 industry leader, the country's largest real estate investment trust (REIT), and the most recognizable name in self-storage.

Job Description",3.4,"Public Storage
3.4","Glendale, CA",-1,-1,-1,-1,-1,-1
1,Basketball Data Scientist (remote opportunity),$38K - $85K (Glassdoor est.),"Who are we hiring?

As a Basketball Data Scientist, you will leverage analytics to create competitive advantages and influence decision-making within Basketball Operations. You will support stakeholders (e.g., Scouting, Strategy) by exploring and analyzing data, crafting visualizations, uncovering robust and actionable insights, and communicating findings. Your work will be critical to establishing the Knicks as an analytics leader and creating a culture of sustained success.

What will you do?

Collaborate with stakeholders (e.g., Scouting, Strategy) to explore and determine analytic needs.
Support decision-making through analysis, research, and reporting.








Madison Square Garden Sports Corp. (MSG Sports) is a leading professional sports company, with a collection of assets that includes: the New York Knicks (NBA) and the New York Rangers (NHL); two development league teams – the Westchester Knicks (NBAGL) and the Hartford Wolf Pack (AHL); and esports teams through Counter Logic Gaming, a leading North American esports organization, and Knicks Gaming, an NBA 2K League franchise. MSG Sports also operates two professional sports team performance centers – the MSG Training Center in Greenburgh, NY and the CLG Performance Center in Los Angeles, CA. More information is available at www.msgsports.com.


Bachelor’s degree in Computer Science, Statistics, Mathematics, Economics, Operations Research, or related field Educational requirements may differ from job to job based on the role.



At MSG we value diversity and are looking for extraordinary employees of all backgrounds! MSG is an Equal Opportunity Employer and provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, sexual and reproductive health choices, national origin, citizenship, age, genetic information, disability, or veteran status. In addition to federal law mandates, MSG complies with all applicable state and local laws governing nondiscrimination in all locations and will consider requests for reasonable accommodations as required.",3.6,"Madison Square Garden Entertainment
3.6","Tarrytown, NY",-1,-1,-1,-1,-1,-1
2,Data Scientist - Growth Analytics,$67K - $128K (Glassdoor est.),"At Realtor.com, we place data science and analytics(DSA) at the center of our strategy. In this role, you will be joining a DSA community of 100+ professionals. The growth analytics team is focused on helping our marketing drive the growth of our business through various marketing efforts on Google, Facebook, TV and other ad platforms. We are a top 1% spend VIP customer with all these partners with direct access to their client and data science teams. You will get to work alongside experts from Amazon, Google, Facebook to build out your data science/ analytics career.

What will you do?
Responsibilities",3.6,"realtor.com
3.6","Austin, TX",-1,-1,-1,-1,-1,-1
3,Data Scientist,$64K - $129K (Glassdoor est.),"We are seeking a talented Data Scientist to join our customer success team. Data scientists play a key role, providing analytical support and expertise to both our internal teams and customers. At DataChat we are building a groundbreaking analytics platform that users interact with using precise natural language to perform a full stack of data science functions. The role provides an opportunity to establish and grow your career in the highly desired field of data science.

As a junior data scientist you will be responsible for working with a wide range of stakeholders to complete data science workflows to solve real world problems. This will include working with pre-sales, customer success, and customers to define data science problems and solve them using the DataChat platform.

The role requires a technical background with an emphasis on data science skills including, data querying and cleaning, data visualization, machine learning, and python scripting via jupyter notebook. Having prior experience in customer facing roles is a plus. The ideal candidate will have a passion for solving data problems to make a real world impact.",4.6,"DataChat
4.6","Madison, WI",-1,-1,-1,-1,-1,-1
4,Data Scientist,Employer Provided Salary:$90 Per Hour,"Title: Data Scientist IV
Job ID: PLM228296
Summary
Looking for a researcher with a background in human-computer interaction, neuroscience, cognitive science, and/or psychology to contribute to our team’s user state modeling research.
Job Responsibilities:
Collaborate with researchers and engineers to build AR/VR experiments that explore novel technologies, interface concepts, and models.
Explore and train machine learning models.",-1,PROLIM Corporation,"Redmond, WA",-1,-1,-1,-1,-1,-1
5,Data Scientist,Employer Provided Salary:$70 - $75 Per Hour,"Machine Learning Engineer
24+ Months
Client 7-Eleven Inc
Skills:
3+ years of experience in Machine learning model development and deployment.
2+ years of experience in Python development
1+ years of experience with Azure/GCP cloud Big Data concepts
Azure SQL Data Warehouse.
Proficiency in Machine Learning models - Time Series, Collaborative Filtering Helpdesk support experience is a plus",4.8,"Integration Developer Network LLC
4.8",Remote,-1,-1,-1,-1,-1,-1
6,Data Annotator,$36K - $74K (Glassdoor est.),"Machine Learning and Artificial Intelligence play a critical role in transforming CCB Operations. The ability to utilize data in meaningful ways allows us to develop solutions which both our customers and employees can benefit from. Customers expect tailored servicing and Chase is looking to deliver personalization to meet their needs. This is powered by high-quality annotated data and detailed annotation schemes that are the backbone of impactful AI/ML algorithms and applications.

As a Product Delivery - Data Annotator, you will work closely with and partner with teams in Data Science, Analytics and Engineering on the collection, curation, annotation, enrichment and validation of data and the development of taxonomies and other linguistic resources to help train machine learning models, drive insight, analysis, and possible content creation.

Responsibilities:

Minimum Qualifications:

Preferred skillset:",3.7,"JPMorgan Chase Bank, N.A.
3.7","Columbus, OH",-1,-1,-1,-1,-1,-1
7,Data Scientist,Employer Provided Salary:$65 - $72 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling",2.0,"Altak Group
2.0",Remote,-1,-1,-1,-1,-1,-1
8,Data Scientist (Junior),Employer Provided Salary:$90K - $110K,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.
This is a fast-paced environment with a variety of challenges, many of which are driven by external factors. If you're excited to work on new projects, constantly find ways to overcome obstacles, and find joy in solving problems than this may be the job for you. As a junior data scientist, you'll work under the direction of senior team members and be expected to rapidly learn new tools and techniques. While work will be guided by more seasoned team members, your intellect, technical skills, and creativity will be highly valued and there is room for advancement.",1.4,"BDSA
1.4","Louisville, CO",-1,-1,-1,-1,-1,-1
9,Data Scientist,$64K - $126K (Glassdoor est.),"Data Scientist
Overview:
The community has a need for timely and accurate COVID-19 results and information to protect themselves and others during this pandemic. GS Labs is responding to this call-to-action. We are prepared to provide this testing in a professional, safe environment and need reliable and detail-oriented people willing to join our team. If you feel called to contribute to the community in a meaningful way while earning a good wage, this opportunity might be for you.

What are we looking for?
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.",4.2,"GS Labs, LLC
4.2","Omaha, NE",-1,-1,-1,-1,-1,-1
