,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Analyst,-1,"Do you have a Passion to Win? Not afraid to Roll Up Your Sleeves?  Have Care and Respect for Family? If so, you match our Core Values- LET’S CONNECT!
Class Valuation is looking for a Data Analyst!! You’ll have an exciting & fun career with a top AMC (Appraisal Management Company)!  Don’t know what an AMC is or what we do?  No problem! We offer a unique virtual training program to get you up to speed & you’ll have AMAZING team members along the way!!
PURPOSE OF JOB:
The Data Analyst is responsible for interpreting data and turning it into information that can offer ways to improve processes, thus affecting business decisions. This role also gathers information from various sources and interprets patterns and trends, and often makes recommendations about the methods and ways in which Class Valuation obtains and analyzes data to improve the quality and the efficiency of data systems.",3.1,"Class Valuation
3.1",Remote,51 to 200 Employees,2009,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
1,Data Optimization Analyst,$55K - $98K (Glassdoor est.),"Spokeo is a people search engine that both enlightens and empowers our customers. With over 12 billion records and 18 million visitors per month, we reconnect friends, reunite families, prevent fraud, and more.
As a Data Optimization Analyst at Spokeo, you will have the opportunity to combine programming, algorithms and quantitative analysis to optimize our data quality and key metrics for high volume data pipelines, integrating multiple sources. You will be responsible for leveraging data mining approaches to systematically recognize patterns and data anomalies intended to inform data cleaning, search-ability, and identity resolution. This is a hands-on development/analytics position focused on automating processes that ensure the integrity of the data that we provide to our customers. You should be open to working with diverse types of big data and technologies such as Amazon AWS, MapReduce/Spark, Tableau, and Pentaho. The ideal candidate should possess expertise in data mining large and complex datasets using Python and Spark.
Responsibilities:


This is a remote position.",4.2,"Spokeo
4.2","Pasadena, CA",201 to 500 Employees,2006,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
2,"Analyst, Data and Analysis",$54K - $95K (Glassdoor est.),"Company Description

Digitas is the Connected Marketing agency, built on the principle that there are better ways for brands to connect with people. We leverage comprehensive data, technology, creative, media and strategy capabilities to deliver Media-Fueled Creativity via connected Solutions that include Connected Campaigns, Social Marketing, Brand Experience, CRM & Loyalty, and Marketing Transformation. A Leader in Gartner’s Magic Quadrant for Global Marketing Agencies for six consecutive years, Digitas serves the world’s leading brands through a global network comprised of more than 4,000 employees across over 30 countries and 50 offices.

Job Description",3.9,"Digitas
3.9","Detroit, MI",5001 to 10000 Employees,1980,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
3,Data Analyst,Employer Provided Salary:$70 Per Hour,"This Data Analyst position is to work with Business Teams and bridge the gap between Judiciary business partners and the technology solution providers by translating business needs into Warehouse solutions for BI.
Data Analyst should have extensive SQL writing experience. This position will also involve identification/Verifications of test plans to ensure that technical solutions meet the needs of the business.
In addition to being experienced in gathering and documenting requirements, facilitating meetings, and delivering results, this person must also be a highly organized, self-starter who thrives in a fast-paced and rapidly changing environment.
The ideal candidate will be responsible for working closely with Research Analysts to assist with conducting data analysis to make informed decisions. The ideal will also conduct data extraction via SQL as well as prepare and document data requirements and conduct data validation for the automation of data extractions to be used in analytics. The candidate will have experience in designing new data warehouse structures to meet business needs. The candidate must:
-Using excellent communication skills, work closely with lines of business, including Research Analysts to address data needs for analytics.
-Be proficient in SQL.
-Analyze raw system data.
-Mine large datasets and draw valid inferences and actionable insights.
-Use SQL to extract data from a large and complex data warehouse and conduct analysis to ensure the proper data is available to support business needs.
-Align data attributes across disparate systems to ensure common connection points are utilized when joining or integrating data sets.
-Work with technical teams to identify data sources.
-Prepare data requirements, data models and transformation rules for new data warehouse structures, including summary information optimized for analytics.
-Identify areas to increase efficiency and automation of data-related processes.
-Create test cases and perform quality validation of data warehouse content to ensure accuracy.
-Create data flow diagrams to illustrate data lineage and mapping from the data warehouse to end-point publication.
-Analyze code in BI tools (e.g., WebFocus, Tableau) to determine data usage and assist with determining the data usage accuracy.
-Conduct data profiling to identify data quality issues and work with Business and IT teams to resolve the issues.",4.2,"Devcare Solutions
4.2",Remote,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
4,Data Analyst,Employer Provided Salary:$75K - $85K,"Responsibilities
Gather client requirements for data migration, understand their current system architecture, implement best practices
Extract data from the client's old system (various databases, flat files, and web apps)
Strong understanding of data to analyze and profile source system
Present the source data points to the client for effective data migration
Prepare a data map that will be presented to the client for their approval
Transform data primarily using TSQL (and other tools as needed)
Able to effectively take data mapping sign-off from clients",-1,BeSpokean LLC,Remote,-1,-1,-1,-1,-1,-1
5,Data Assistant / Jr Data Analyst - REMOTE,Employer Provided Salary:$22 - $28 Per Hour,"Job Title
Data Assistant / Jr Data Analyst - REMOTE*
Must reside in the United States

Position Type
Full-Time
Non-Exempt / Hourly
M-F, 7 am - 4 pm, PST",3.7,"InBody
3.7",Remote,201 to 500 Employees,1996,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
6,Data Analyst,Employer Provided Salary:$80 Per Hour,"Data Management Analyst.
Data Management Analyst resource who will be responsible for performing data systems support, account management, quality assurance, application training, processes and improvement documentation.
Minimum Education/Qualifications Requirements:
-Bachelor's degree from an accredited college or university in information technology, business administration, education or related fields and/or equivalent work experience.
-Ability to provide exceptional customer service experiences.
-Strong problem-solving skills and a solution-oriented mindset.",-1,Go Intellects Inc,"Washington, DC",-1,-1,-1,-1,-1,-1
7,Advanced Data Analyst,-1,"Job Title: Advanced Data Analyst
Department: Information Technology
Reports To: Vishnu Venkatesh
Work Location: Flexible for remote and/or onsite. East coast preference.
Who we are: Vibronyx is a rapidly growing startup focused on building future-ready supply chains using AI technologies and data analytics. We help our department of defense and commercial clients solve some of the toughest digital supply chain challenges.
The value that you will bring: As an Advanced Data Analyst, you will help in the development of next generation of predictive technologies that will enable supply chains. Your abilities to integrate, prepare and curate different types of data will help us transform how we standardize data. You will use your coding skills to build and improve processing systems and carry out data manipulation to prepare data for use in machine learning and neural networks. You will work on multiple project teams concurrently that involve cross-functional disciplines across customer and internal organizations.",-1,Vibronyx,Remote,-1,-1,-1,-1,-1,-1
8,Data Analyst,Employer Provided Salary:$54K - $104K,"We are looking for presentation-centric data and display analyst!
You are expert level on source data requirements (you can tell developers what you need), and you can ninja PowerBI or related technologies to make our customers jump for joy with dashboards, reports and any other visualization of the data that they wish!
You can take data from multiple sources, manipulate it, tweak it and design it for scale and repeatability. Most importantly - you can work with the rest of the creative team to get some of this magic into the sales team and product delivery organization as well.
You must have experience delivering this - we have a large backlog of requirements - and much more to do!
Responsibilities",3.0,"Data443 Risk Mitigation, Inc.
3.0","Morrisville, NC",1 to 50 Employees,2017,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
9,Program Analyst (Data Analytics),Employer Provided Salary:$107K - $139K,"Help
This job is open to
Career transition (CTAP, ICTAP, RPL)
Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee.
The public
U.S. Citizens, Nationals or those who owe allegiance to the U.S.
Veterans
Clarification from the agency",2.7,"US Administration for Children and Families
2.7","Washington, DC",5001 to 10000 Employees,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1
